ID,Auteurs,Date,"Titre (ouvrage, chap d'ouvrage, article)",Publication (nom journal ou ouvrage),pages,DOI,Editor
cotterell1987,"Cotterell, Brian; Kamminga, Johan",1987,The Formation of Flakes,American Antiquity 52 (4),675‑708,https://doi.org/10.2307/281378.,
inizan1995,"Inizan, Marie-Louise; Reduron-Ballinger, Michèle; Roche, Hélène; Tixier, Jacques",1995,Technologie de la pierre taillée,,199,,
inizan1999,"Inizan, Marie-Louise; Reduron-Ballinger, Michèle; Roche, Hélène; Tixier, Jacques",1999,Technology and Terminology of Knapped Stone,,189,,
andrefsky2005,"Andrefsky, William",2005,Lithics: Macroscopic Approaches to Analysis. 2ᵉ éd. Cambridge Manuals in Archaeology. Cambridge University Press,,340,https://doi.org/10.1017/CBO9780511810244,
pelegrin2005,"Pelegrin, Jacques",2005,Remarks about Archaeological Techniques and Methods of Knapping: Elements of a Cognitive Approach to Stone Knapping,Stone knapping: The necessary conditions for a uniquely hominin behaviour (Ed. Valentine Roux et Blandine Bril). McDonald Institute for Archaeological Research.,23-33,,
garanger1972,"Garanger, José",1972,Herminettes lithiques océaniennes : éléments de typologie,Journal de la Société des Océanistes 28,253‑274,,Aymeric Hermann
moos2024,"Moos, Elena T.; Bader, Gregor D.; Will, Manuel",2024,Experimental Investigation of Knapping Characteristics of Dolerite and Implications for the Interpretation of Middle Stone Age Technologies,Lithic Technology 50 (2),1-19,https://doi.org/10.1080/01977261.2024.2388964,
spry2022,"Spry, Caroline; Kurpiel, Rebekah; Foley, Elizabeth; Penzo-Kajewski; Paul",2022,"Revisiting the “Quartz Problem” in Lithic Studies: A Review and New, Open-access, Experimental Dataset",Lithic Technology 47 (2),171‑181,https://doi.org/10.1080/01977261.2021.1981655,
stout2002,"Stout, Dietrich",2002,Skill and Cognition in Stone Tool Production: An Ethnographic Case Study from Irian Jaya,Current Anthropology 43 (5),693‑722,https://doi.org/10.1086/342638,Aymeric Hermann
